recordDate,New,Closed,Open Tickets to date,Week Number
2021-04-27 00:00:00.000,1,21,0,18
2020-09-27 00:00:00.000,1,0,0,40
2021-06-09 00:00:00.000,54,47,0,24
2020-11-29 00:00:00.000,1,0,0,49
2020-10-17 00:00:00.000,1,0,0,42
2021-03-15 00:00:00.000,42,43,0,12
2021-04-16 00:00:00.000,45,45,0,16
2020-09-13 00:00:00.000,3,0,0,38
2020-10-29 00:00:00.000,47,39,0,44
2020-10-06 00:00:00.000,38,29,0,41
2021-02-06 00:00:00.000,2,1,0,6
2021-03-01 00:00:00.000,37,37,0,10
2021-03-24 00:00:00.000,55,42,0,13
2020-07-18 00:00:00.000,4,2,0,29
2020-10-26 00:00:00.000,26,40,0,44
2021-03-04 00:00:00.000,49,40,0,10
2021-05-06 00:00:00.000,42,42,0,19
2020-08-24 00:00:00.000,39,43,0,35
2021-04-13 00:00:00.000,48,38,0,16
2021-02-09 00:00:00.000,40,45,0,7
2021-05-23 00:00:00.000,3,0,0,22
2021-06-15 00:00:00.000,44,56,0,25
2020-11-15 00:00:00.000,4,1,0,47
2021-01-17 00:00:00.000,5,0,0,4
2021-05-03 00:00:00.000,66,52,0,19
2020-12-05 00:00:00.000,5,0,0,49
2020-08-04 00:00:00.000,43,40,0,32
2021-04-10 00:00:00.000,1,0,0,15
2021-02-12 00:00:00.000,29,28,0,7
2021-05-26 00:00:00.000,54,49,0,22
2020-12-28 00:00:00.000,22,39,0,53
2020-12-31 00:00:00.000,22,30,0,53
2020-12-08 00:00:00.000,53,48,0,50
2021-01-20 00:00:00.000,43,27,0,4
2020-08-30 00:00:00.000,2,0,0,36
2021-04-30 00:00:00.000,24,26,0,18
2021-06-18 00:00:00.000,34,30,0,25
2020-11-01 00:00:00.000,3,0,0,45
2020-09-16 00:00:00.000,39,27,0,38
2020-10-09 00:00:00.000,18,23,0,41
2020-11-18 00:00:00.000,37,44,0,47
2020-08-07 00:00:00.000,15,25,0,32
2020-07-15 00:00:00.000,52,26,0,29
2020-12-11 00:00:00.000,26,35,0,50
2020-08-27 00:00:00.000,36,38,0,35
2021-06-01 00:00:00.000,49,64,0,23
2020-12-14 00:00:00.000,44,34,0,51
2021-01-06 00:00:00.000,41,21,0,2
2020-08-10 00:00:00.000,47,37,0,33
2020-09-28 00:00:00.000,57,29,0,40
2020-09-05 00:00:00.000,2,1,0,36
2021-01-26 00:00:00.000,47,35,0,5
2020-10-18 00:00:00.000,1,0,0,43
2020-11-24 00:00:00.000,44,48,0,48
2021-06-04 00:00:00.000,37,37,0,23
2020-12-17 00:00:00.000,52,70,0,51
2021-01-09 00:00:00.000,1,0,0,2
2020-11-07 00:00:00.000,5,0,0,45
2020-07-24 00:00:00.000,23,20,0,30
2021-04-02 00:00:00.000,22,36,0,14
2021-02-18 00:00:00.000,43,54,0,8
2020-09-22 00:00:00.000,34,41,0,39
2020-09-25 00:00:00.000,19,45,0,39
2020-09-02 00:00:00.000,32,32,0,36
2020-08-13 00:00:00.000,35,44,0,33
2020-07-21 00:00:00.000,40,42,0,30
2021-01-29 00:00:00.000,39,56,0,5
2021-03-13 00:00:00.000,3,0,0,11
2020-10-15 00:00:00.000,34,26,0,42
2020-12-20 00:00:00.000,2,0,0,52
2020-07-04 00:00:00.000,1,0,0,27
2020-07-27 00:00:00.000,68,70,0,31
2020-11-27 00:00:00.000,33,34,0,48
2021-05-15 00:00:00.000,8,0,0,20
2021-03-30 00:00:00.000,30,50,0,14
2020-11-04 00:00:00.000,45,42,0,45
2021-04-22 00:00:00.000,61,53,0,17
2020-08-16 00:00:00.000,1,1,0,34
2020-10-12 00:00:00.000,27,33,0,42
2021-03-10 00:00:00.000,54,52,0,11
2021-04-19 00:00:00.000,44,22,0,17
2021-03-27 00:00:00.000,4,1,0,13
2021-05-12 00:00:00.000,69,57,0,20
2021-05-29 00:00:00.000,6,0,0,22
2021-01-03 00:00:00.000,2,0,0,2
